employee_number,first_name,last_name,title,from_date,salary,emp_count
269041,Yahiko,Picaronny,Assistant Engineer,1999-03-06,60384,47
55068,Kyoichi,Wielonsky,Assistant Engineer,1999-03-03,63460,48
104549,Chaoyi,Sabnani,Assistant Engineer,1999-02-09,53559,49
281058,Miomir,Bressoud,Assistant Engineer,1999-01-19,40000,51
474755,Christ,Varker,Assistant Engineer,1999-01-19,40000,51
94710,Anneke,Schrooten,Assistant Engineer,1999-01-01,79794,53
402225,Tsutomu,Jiang,Assistant Engineer,1999-01-01,44239,53
42274,Gal,Grospietsch,Assistant Engineer,1998-12-28,40000,54
104092,Abdelaziz,Vitiello,Assistant Engineer,1998-12-27,48196,55
85109,Ottavia,Rebaine,Assistant Engineer,1998-12-14,40000,56
266349,Foong,Stille,Assistant Engineer,1998-12-06,44242,57
251683,Maris,Klassen,Assistant Engineer,1998-11-25,44022,58
25391,Hatsukazu,Billawala,Assistant Engineer,1998-11-15,40000,59
65358,Kshitij,Cooley,Assistant Engineer,1998-11-10,40000,60
293851,Golgen,Callaway,Assistant Engineer,1998-11-04,40000,61
62155,Akemi,Basawa,Assistant Engineer,1998-11-02,40170,62
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01,40000,63
255157,Saeed,Zlotek,Assistant Engineer,1998-10-28,40000,64
296047,Mariusz,Schlenzig,Assistant Engineer,1998-10-26,40000,65
207426,Mats,Panangaden,Assistant Engineer,1998-10-23,58946,66
204337,Brewster,Erol,Assistant Engineer,1998-10-22,40000,67
53530,Gully,Pintelas,Assistant Engineer,1998-10-19,54088,68
97724,Jagoda,Pezzoli,Assistant Engineer,1998-10-13,40000,69
101067,Kerhong,Schmittgen,Assistant Engineer,1998-10-12,54297,71
478939,Tommaso,Riefers,Assistant Engineer,1998-10-12,57443,71
22216,Thodoros,Cooley,Assistant Engineer,1998-10-04,64616,72
81177,Bodh,Berendt,Assistant Engineer,1998-10-02,68201,74
494166,Marit,Khalid,Assistant Engineer,1998-10-02,40000,74
414844,Genevieve,Stroustrup,Assistant Engineer,1998-10-01,40000,75
418096,Teruyuki,Montresor,Assistant Engineer,1998-09-27,40000,76
107625,Quingbo,Schwabacher,Assistant Engineer,1998-09-09,40000,77
249094,Subhrajyoti,Siepmann,Assistant Engineer,1998-09-02,64641,78
498684,Olivera,Argence,Assistant Engineer,1998-08-29,51406,79
214446,Barry,Mersereau,Assistant Engineer,1998-08-17,71698,80
417828,Marjo,Besancenot,Assistant Engineer,1998-08-13,40000,81
42942,Mansur,Bolotov,Assistant Engineer,1998-08-02,40000,83
425652,Tran,Birrer,Assistant Engineer,1998-08-02,48318,83
459673,Tiina,Qiwen,Assistant Engineer,1998-07-30,59420,85
84743,Juichirou,Picaronny,Assistant Engineer,1998-07-30,40000,85
269394,Teiji,Noriega,Assistant Engineer,1998-07-19,40000,86
103424,Geoffrey,Knightly,Assistant Engineer,1998-07-06,40000,87
36542,Sibyl,Dredge,Assistant Engineer,1998-07-04,40000,88
94030,Masato,Shobatake,Assistant Engineer,1998-07-03,40000,90
294340,Radhika,Veldwijk,Assistant Engineer,1998-07-03,62631,90
251493,Lein,Rosen,Assistant Engineer,1998-06-20,71366,91
256213,Shichao,Pileggi,Assistant Engineer,1998-06-13,40000,92
207276,Ramalingam,Oaver,Assistant Engineer,1998-06-04,40000,93
445757,Heeju,Chiola,Assistant Engineer,1998-06-01,75752,94
25656,Eben,Narwekar,Assistant Engineer,1998-05-20,40000,95
83375,Anestis,Kenevan,Assistant Engineer,1998-05-19,42336,96
411149,Mads,Matzke,Assistant Engineer,1998-05-14,77952,97
225277,Hercules,Harbusch,Assistant Engineer,1998-05-12,40000,98
249410,Caolyn,Comyn,Assistant Engineer,1998-05-04,46630,99
253865,Fox,Hedayat,Assistant Engineer,1998-04-29,40000,100
494355,Koichi,Reutenauer,Assistant Engineer,1998-04-25,40000,101
276344,Mana,Vieri,Assistant Engineer,1998-04-24,40000,102
236860,Jaewoo,Skafidas,Assistant Engineer,1998-04-16,55329,103
412747,Vishv,Cesareni,Assistant Engineer,1998-04-13,57282,104
403085,Halsur,Irland,Assistant Engineer,1998-04-05,40000,105
460859,Duke,Sadowsky,Assistant Engineer,1998-03-13,53052,106
94293,Susuma,Qiwen,Assistant Engineer,1998-03-09,40000,108
458690,Yagil,Osgood,Assistant Engineer,1998-03-09,40000,108
60354,Shakhar,Plesums,Assistant Engineer,1998-03-07,40000,109
283306,Kendra,Giaccio,Assistant Engineer,1998-02-28,43867,110
425716,Khatoun,Merro,Assistant Engineer,1998-02-27,40714,111
499816,Debatosh,Murtagh,Assistant Engineer,1998-02-24,40000,112
37716,Gill,Hutton,Assistant Engineer,1998-02-16,40000,113
59824,Xiaoshan,Marwedel,Assistant Engineer,1998-02-06,47939,114
403459,Georgi,Claffy,Assistant Engineer,1998-02-02,44740,116
493944,Ziyad,Gulla,Assistant Engineer,1998-02-02,57380,116
460897,Fei,Krohn,Assistant Engineer,1998-01-22,40000,117
207295,Aiichiro,Motley,Assistant Engineer,1998-01-19,40000,118
408006,Hinrich,Gniady,Assistant Engineer,1998-01-16,44289,119
264280,Mohua,Lienhardt,Assistant Engineer,1998-01-05,59767,122
200434,Mabry,Boguraev,Assistant Engineer,1998-01-05,43852,122
488667,Mayumi,Basagni,Assistant Engineer,1998-01-05,47281,122
237663,Junsik,Onuegbe,Assistant Engineer,1997-12-24,65958,124
437470,Rasiah,Bouloucos,Assistant Engineer,1997-12-24,40277,124
481712,Vitaly,Jeong,Assistant Engineer,1997-12-17,53611,125
423876,Amstein,Gustavson,Assistant Engineer,1997-12-11,40000,126
462470,Satyanarayana,Worfolk,Assistant Engineer,1997-12-09,50319,127
419499,Honesty,Dulin,Assistant Engineer,1997-11-24,40000,128
33306,Tesuro,Spell,Assistant Engineer,1997-11-18,67855,129
464937,Fai,Luit,Assistant Engineer,1997-11-05,43713,130
453639,Magy,Fujisaki,Assistant Engineer,1997-10-11,40000,131
56659,Takahiro,Lanteri,Assistant Engineer,1997-10-10,40000,132
19565,Zito,Riesenhuber,Assistant Engineer,1997-10-07,40000,133
230602,Arnould,Wursthorn,Assistant Engineer,1997-09-27,40000,134
400982,Jessie,Rindone,Assistant Engineer,1997-09-18,52245,136
18580,Mabo,Bamford,Assistant Engineer,1997-09-18,40000,136
450243,Mayumi,Undy,Assistant Engineer,1997-09-07,89121,137
455395,Amstein,Kalorkoti,Assistant Engineer,1997-09-03,51028,138
211238,Supot,Raney,Assistant Engineer,1997-08-31,64512,139
451098,Pragnesh,Fujisaki,Assistant Engineer,1997-08-28,50853,140
430446,Guoxiang,Ghandeharizadeh,Assistant Engineer,1997-08-21,40000,141
48542,Kazuhide,Zeilberger,Assistant Engineer,1997-08-04,55488,142
62958,Tomofumi,Magliocco,Assistant Engineer,1997-08-02,40000,143
31290,Masoud,Coullard,Assistant Engineer,1997-07-27,40000,144
46622,Filipp,Krzyzanowski,Assistant Engineer,1997-07-26,57693,145
491008,Kristian,Koblick,Assistant Engineer,1997-07-22,40000,146
21312,Mani,Bahi,Assistant Engineer,1997-07-18,43128,147
262451,Baoqiu,Pokrovskii,Assistant Engineer,1997-07-01,40000,148
255795,Sashi,Godskesen,Assistant Engineer,1997-06-24,40000,149
294590,Haldon,Validov,Assistant Engineer,1997-06-17,54051,150
20624,Xiong,Nanard,Assistant Engineer,1997-05-24,42597,151
226884,Adam,Fortenbacher,Assistant Engineer,1997-05-19,40000,153
246225,Reuven,Birjandi,Assistant Engineer,1997-05-19,47474,153
88796,Mang,Erol,Assistant Engineer,1997-05-03,40000,154
280452,Navin,Chenoweth,Assistant Engineer,1997-04-27,44906,156
229903,Hausi,Callaway,Assistant Engineer,1997-04-27,41972,156
213670,Fei,Dolinsky,Assistant Engineer,1997-04-26,40000,157
58227,Armond,Bierbaum,Assistant Engineer,1997-04-18,40000,158
29077,Candida,Tagansky,Assistant Engineer,1997-04-17,41624,159
18866,Fumiyo,Hettesheimer,Assistant Engineer,1997-04-10,56470,160
423756,Huican,Schlumberger,Assistant Engineer,1997-03-13,40000,161
249052,Houman,Awdeh,Assistant Engineer,1997-03-02,40000,162
84475,Kien,Erni,Assistant Engineer,1997-03-01,42343,163
251804,Shir,Akaboshi,Assistant Engineer,1997-02-22,40000,165
230898,Charlene,Vitiello,Assistant Engineer,1997-02-22,65686,165
276503,Tesuro,Schrooten,Assistant Engineer,1997-02-21,46345,166
450842,Charmane,Danner,Assistant Engineer,1997-02-05,40000,167
466867,Kwangjo,Klerer,Assistant Engineer,1997-01-25,68241,168
47849,Gao,Munke,Assistant Engineer,1997-01-04,40000,169
280977,Frazer,Shokrollahi,Assistant Engineer,1996-12-19,43557,170
408023,Jovan,Henders,Assistant Engineer,1996-12-17,47025,171
463334,Tran,Peak,Assistant Engineer,1996-12-13,40000,172
40853,Terresa,Guardalben,Assistant Engineer,1996-12-11,40000,173
212168,Licheng,Rathonyi,Assistant Engineer,1996-12-05,46555,174
100333,Kyoichi,Radivojevic,Assistant Engineer,1996-11-27,54918,175
28714,Arco,Poehlman,Assistant Engineer,1996-11-25,40000,177
416847,Jinpo,Dengi,Assistant Engineer,1996-11-25,40000,177
262736,Maris,Waschkowski,Assistant Engineer,1996-10-26,49779,178
450495,Isaac,Boguraev,Assistant Engineer,1996-10-16,59354,179
464155,Sachar,Horswill,Assistant Engineer,1996-10-06,58707,180
227144,Anneli,Beeson,Assistant Engineer,1996-10-02,65909,182
40489,Yongmao,Bugrara,Assistant Engineer,1996-10-02,40829,182
101086,Fumino,Breugel,Assistant Engineer,1996-09-28,65639,183
66991,Khoa,Ranum,Assistant Engineer,1996-08-27,51285,184
91227,Spyrose,Bala,Assistant Engineer,1996-08-26,40000,185
498434,Tua,Zaiane,Assistant Engineer,1996-08-18,40000,186
471664,Breannda,Bharadwaj,Assistant Engineer,1996-08-05,50014,187
275083,Pranjal,Kopetz,Assistant Engineer,1996-07-07,40000,188
79669,Premsyl,Meszaros,Assistant Engineer,1996-07-02,44222,189
442699,Samphel,Baer,Assistant Engineer,1996-06-03,40000,190
239539,Shaz,Hedayat,Assistant Engineer,1996-06-02,40000,191
99567,Christfried,Oberman,Assistant Engineer,1996-06-01,69068,192
243128,Zhonghua,Papadias,Assistant Engineer,1996-05-18,53946,193
262485,Tsvetan,Danecki,Assistant Engineer,1996-05-04,40000,194
55632,Byong,Ravishankar,Assistant Engineer,1996-04-23,40000,195
94900,Atilio,Zyda,Assistant Engineer,1996-04-09,40000,196
63744,Shaw,Mitchem,Assistant Engineer,1996-04-04,47300,199
498231,Randy,Keirsey,Assistant Engineer,1996-04-04,40000,199
243815,Zengping,Improta,Assistant Engineer,1996-04-04,46326,199
283821,Jianwen,Schicker,Assistant Engineer,1996-03-13,61276,200
263953,Rosli,Oxman,Assistant Engineer,1996-03-11,40000,201
31128,Serif,Frolund,Assistant Engineer,1996-02-21,67108,202
299844,Nalini,Scallan,Assistant Engineer,1996-02-13,40000,203
36843,Masali,Gopalakrishnan,Assistant Engineer,1996-01-26,66556,204
224472,Marla,Birta,Assistant Engineer,1996-01-20,40101,205
467559,Nathalie,Wilharm,Assistant Engineer,1996-01-16,40000,206
76339,Aloys,Ohori,Assistant Engineer,1996-01-13,40000,207
37117,Fumiko,Munoz,Assistant Engineer,1996-01-10,40000,208
478771,Rasiah,Beznosov,Assistant Engineer,1995-12-27,47719,209
404074,Horward,Moehrke,Assistant Engineer,1995-12-01,58459,210
448563,Kensei,Terlouw,Assistant Engineer,1995-11-29,62694,211
65162,Marko,Peot,Assistant Engineer,1995-11-18,40000,213
214665,Mana,Eickenmeyer,Assistant Engineer,1995-11-18,44406,213
272104,Paris,Koshino,Assistant Engineer,1995-11-16,57313,214
486879,Duangkaew,Ligten,Assistant Engineer,1995-11-02,55040,215
492328,Mooi,Tzvieli,Assistant Engineer,1995-09-06,43811,216
255361,Aamer,Spell,Assistant Engineer,1995-08-21,40000,217
15934,Kensyu,Shinomoto,Assistant Engineer,1995-08-20,50454,218
264952,Jahangir,Narlikar,Assistant Engineer,1995-08-08,53731,219
238372,Yuriy,Harbusch,Assistant Engineer,1995-08-02,40000,220
44285,Keiichiro,Chimia,Assistant Engineer,1995-07-15,40000,221
98854,Kotesh,Garrabrants,Assistant Engineer,1995-07-03,43094,222
17869,Xiaocheng,Prochazka,Assistant Engineer,1995-07-01,40000,223
297728,Toshimitsu,Woycyznski,Assistant Engineer,1995-06-01,49056,224
476314,Jinxi,Gente,Assistant Engineer,1995-05-20,54318,225
255282,Sumant,Aamodt,Assistant Engineer,1995-05-07,40000,226
56229,Pascal,Marakhovsky,Assistant Engineer,1995-01-02,51497,227
91451,Akeno,Savasere,Assistant Engineer,1995-01-01,40000,228
85645,Henk,Ashish,Assistant Engineer,1994-12-11,61130,229
22833,Alassane,Plessier,Assistant Engineer,1994-11-29,51912,230
104658,Mrinalini,Ratnakar,Assistant Engineer,1994-11-20,52965,231
406853,Sachio,Couchot,Assistant Engineer,1994-11-18,46733,232
72434,Snehasis,Lueh,Assistant Engineer,1994-09-29,40000,234
420597,Ferdinand,Bamford,Assistant Engineer,1994-09-29,40000,234
39812,Marit,Peres,Assistant Engineer,1994-09-18,42858,235
106340,Giordano,Plotkin,Assistant Engineer,1994-09-04,53526,236
17068,Bodh,Gopalakrishnan,Assistant Engineer,1994-09-01,40000,237
25254,Matt,Peek,Assistant Engineer,1994-07-30,61383,238
15392,Pradeep,Markovitch,Assistant Engineer,1994-07-04,55638,239
451257,Foong,Muniz,Assistant Engineer,1994-05-02,54215,240
466531,Sachar,Rindone,Assistant Engineer,1994-04-25,40000,241
286319,Baziley,Quaggetto,Assistant Engineer,1994-04-23,43514,242
92517,Mamdouh,Suessmith,Assistant Engineer,1994-04-04,40000,243
277886,Vishv,Yeung,Assistant Engineer,1994-04-02,61591,244
56159,Zengping,Shumilov,Assistant Engineer,1994-03-22,52527,245
88628,Guoxiang,Polajnar,Assistant Engineer,1994-02-21,40000,246
201150,Chaosheng,Miculan,Assistant Engineer,1993-11-20,69972,247
80981,Fumitake,Niizuma,Assistant Engineer,1993-11-18,40000,248
46221,Weidon,Kobuchi,Assistant Engineer,1993-09-23,51056,249
86561,Thodoros,Frolund,Assistant Engineer,1993-08-16,42797,250
203286,Hisao,Ginesta,Assistant Engineer,1993-08-03,40000,251
445728,Herb,Lorin,Engineer,2002-07-31,43208,1
16130,Kerryn,Belinskaya,Engineer,2002-07-26,40000,2
474386,Collette,Ohori,Engineer,2002-07-23,44880,3
202006,Gritta,Peac,Engineer,2002-07-19,49739,4
275189,Sachar,Katzenelson,Engineer,2002-07-08,45637,5
413905,Piyawadee,Gelosh,Engineer,2002-06-19,55848,6
234703,Deborah,Levasseur,Engineer,2002-06-14,58316,7
452451,Duro,Matzen,Engineer,2002-06-10,64113,8
19120,Giri,Qiwen,Engineer,2002-05-20,49416,9
264126,Toshiki,Thimonier,Engineer,2002-05-09,71356,10
226987,Arif,Delgrossi,Engineer,2002-04-25,55209,11
431731,Jianhao,Ermel,Engineer,2002-04-05,54343,12
46440,Pranav,Rosay,Engineer,2002-03-28,53108,13
24207,Frazer,Rodham,Engineer,2002-03-27,40389,14
28782,Marl,Yemenis,Engineer,2002-03-25,48475,16
221850,Mitsuyuki,Ritzmann,Engineer,2002-03-25,40000,16
428889,Perry,Brizzi,Engineer,2002-03-21,40000,18
48503,Pranas,Gammage,Engineer,2002-03-21,68225,18
297332,Gita,Lorie,Engineer,2002-03-03,40000,19
267228,Van,Crouzet,Engineer,2002-02-19,55262,20
492777,Demin,Mapelli,Engineer,2002-02-16,40000,21
440076,Hailing,Schiettecatte,Engineer,2002-02-11,40000,22
279642,Feipei,Besancenot,Engineer,2002-02-08,53904,23
76760,Adib,Bale,Engineer,2002-02-04,48303,24
247634,Shiv,Axelband,Engineer,2002-02-01,40000,25
59899,Toong,Schueller,Engineer,2002-01-26,66788,26
77292,Berhard,Roccetti,Engineer,2002-01-25,40000,29
252992,Shahab,Gustavson,Engineer,2002-01-25,40000,29
75347,Aemilian,Simmen,Engineer,2002-01-25,40000,29
271305,Lena,Zolotykh,Engineer,2002-01-24,42121,30
498770,Kersti,Katzenelson,Engineer,2002-01-18,55758,31
288144,Youngkon,Pehl,Engineer,2002-01-17,40000,32
49624,Falguni,Mitsuhashi,Engineer,2002-01-07,40000,33
480176,Xiaopeng,Haddadi,Engineer,2002-01-03,74254,34
73017,Adel,Iisaka,Engineer,2002-01-01,59529,35
37406,Rildo,Cincotta,Engineer,2001-12-24,58809,36
88298,Shuji,Vidya,Engineer,2001-12-16,54552,37
52130,Kwangho,Besselaar,Engineer,2001-12-11,49600,38
109114,Kwangyoen,Azevdeo,Engineer,2001-12-08,50256,39
234941,Pohua,Ouhyoung,Engineer,2001-11-29,66765,41
410902,Masaki,Perng,Engineer,2001-11-29,40000,41
47047,Shugo,Nourani,Engineer,2001-11-28,40000,42
60677,Stella,Worfolk,Engineer,2001-11-27,40000,43
77193,Keiichiro,Benzmuller,Engineer,2001-11-22,40000,44
236708,Pascal,Bennet,Engineer,2001-11-20,70431,45
437955,Kristin,Matteis,Engineer,2001-11-16,58381,46
431432,Danel,Verhoeff,Engineer,2001-11-06,40000,47
79367,Shir,Kandlur,Engineer,2001-10-30,56407,48
493519,Sadegh,Papsdorf,Engineer,2001-10-26,40000,49
462080,Guther,Larfeldt,Engineer,2001-10-23,41569,50
90009,Denny,Ozeki,Engineer,2001-10-15,50992,51
84388,Chikako,Sifakis,Engineer,2001-10-14,40621,52
23026,Junichi,Lortz,Engineer,2001-10-03,52693,53
452444,Fatemeh,Uludag,Engineer,2001-09-27,40000,54
452682,Shounak,Wixon,Engineer,2001-09-16,49153,55
474801,Aleksandar,Slaats,Engineer,2001-09-12,40000,56
467972,Xiaoshan,Magalhaes,Engineer,2001-09-08,67039,57
421249,Francesca,Raoux,Engineer,2001-09-04,40000,58
215310,Sampalli,Dalton,Engineer,2001-08-25,40000,59
226853,Wuxu,Bail,Engineer,2001-08-24,40624,60
57968,Froduald,Perng,Engineer,2001-08-22,46898,61
405496,Uriel,Pramanik,Engineer,2001-08-10,48341,62
493453,Fai,Waleschkowski,Engineer,2001-07-19,52220,64
202375,Marke,Garnick,Engineer,2001-07-19,45256,64
423917,Dines,Bouloucos,Engineer,2001-07-10,40000,65
246630,Adib,Markovitch,Engineer,2001-07-07,69702,66
79704,Ipke,Neiman,Engineer,2001-07-01,48603,67
430501,Candida,McConalogue,Engineer,2001-06-27,70113,68
70743,Matk,Genin,Engineer,2001-06-20,42520,69
484191,Mani,Gente,Engineer,2001-06-16,47813,70
294884,Bowen,Baaz,Engineer,2001-06-08,48562,71
46191,Hilari,Pocchiola,Engineer,2001-06-06,47480,73
284876,Kwun,Lorys,Engineer,2001-06-06,55392,73
227801,Valery,Brobst,Engineer,2001-06-05,58111,74
202944,Billur,Montemayor,Engineer,2001-06-03,54282,75
485810,Rasikan,Gunderson,Engineer,2001-05-22,40000,76
409522,Gadiel,Cheshire,Engineer,2001-05-10,48092,77
28966,Shakhar,Zirintsis,Engineer,2001-05-03,40000,78
10282,Hercules,Benzmuller,Engineer,2001-05-02,40000,79
462259,Tomoyuki,Huttel,Engineer,2001-04-28,45968,80
225464,Tetsurou,Vieth,Engineer,2001-04-27,40000,81
490740,Remko,Haraldson,Engineer,2001-04-21,68264,82
57223,Danel,Copas,Engineer,2001-04-14,72443,83
490763,Tomoyuki,Laurillard,Engineer,2001-04-01,62497,84
225315,Piyawadee,Choobineh,Engineer,2001-03-25,41223,85
15714,Troy,Bala,Engineer,2001-03-08,40000,86
99473,Jaihie,Servi,Engineer,2001-03-06,63089,87
278003,Mohit,Melichar,Engineer,2001-02-11,45740,88
22424,Krister,Engelmann,Engineer,2001-02-07,47921,90
415592,Erzsebet,Chepyzhov,Engineer,2001-02-07,44023,90
72298,Lenore,Glinert,Engineer,2001-01-29,47705,91
495135,Miquel,Heystek,Engineer,2001-01-27,40000,92
255397,Augustine,Guenter,Engineer,2001-01-23,40000,93
243420,Jaewoo,Radwan,Engineer,2001-01-22,40000,95
418888,Harngdar,Petersohn,Engineer,2001-01-22,40000,95
219219,Maya,Gerlach,Engineer,2001-01-20,40000,96
293580,Masadi,Christ,Engineer,2001-01-08,45762,97
253462,Menkae,Sooriamurthi,Engineer,2000-12-29,47475,98
462759,Bodo,Kaiserswerth,Engineer,2000-12-09,54373,99
460739,Yinlin,Wossner,Engineer,2000-11-22,40995,100
451482,Cathie,Molenkamp,Engineer,2000-11-20,41411,101
94987,Kazuhira,Berendt,Engineer,2000-11-19,40793,102
286992,Dante,Skafidas,Engineer,2000-11-12,58989,103
215291,Haldun,Raoux,Engineer,2000-11-11,50804,104
217876,Leah,Kossowski,Engineer,2000-11-04,40000,105
86973,Shao,Honiden,Engineer,2000-10-30,40000,106
59130,Mingsen,Baja,Engineer,2000-10-24,41843,107
424367,Kokou,Passino,Engineer,2000-10-20,56043,108
253571,Tomokazu,Deverell,Engineer,2000-10-18,43662,109
474439,Genta,Bauknecht,Engineer,2000-10-17,40000,110
29950,Laurentiu,Vasanthakumar,Engineer,2000-10-15,43906,111
87442,Marjo,Jeong,Engineer,2000-09-20,61671,112
246320,Michaela,Bage,Engineer,2000-09-02,40000,113
401908,Mohua,Bolotov,Engineer,2000-09-01,40000,114
484424,Yifei,Pashtan,Engineer,2000-08-30,61588,116
261957,Thodoros,Gecseg,Engineer,2000-08-30,54278,116
282979,Shen,Steinauer,Engineer,2000-08-29,41146,117
449359,Arvind,Dratva,Engineer,2000-08-19,40000,118
97796,Jacopo,Schoegge,Engineer,2000-07-31,52247,119
83748,Hyuncheol,Molberg,Engineer,2000-07-29,40000,120
462128,Divine,Angelopoulos,Engineer,2000-07-23,40000,121
59192,Luisa,Schusler,Engineer,2000-07-19,58121,122
64119,Zorica,Brizzi,Engineer,2000-07-18,46002,123
38333,Chiranjit,Rosiles,Engineer,2000-07-12,40000,124
23840,Thanasis,Polupanov,Engineer,2000-07-06,43469,125
415731,Uta,Aloisi,Engineer,2000-06-12,40000,126
49732,Kellyn,Famili,Engineer,2000-06-07,43370,127
46025,Yurii,Demir,Engineer,2000-05-30,62359,129
210180,Jianhua,Vural,Engineer,2000-05-30,44234,129
478261,Rajmohan,DasSarma,Engineer,2000-05-22,59225,130
295462,Susanna,Penttonen,Engineer,2000-05-12,53712,131
423464,Shiv,Rodier,Engineer,2000-05-03,42039,132
497117,Siamak,Babb,Engineer,2000-04-23,40000,133
105910,Guozhong,Zaccaria,Engineer,2000-04-22,42079,134
431194,Oscal,Nannarelli,Engineer,2000-04-20,42791,136
422393,Ramya,Schapire,Engineer,2000-04-20,56442,136
49558,Marko,Rusterholz,Engineer,2000-03-26,49444,137
247135,Yaghout,Bage,Engineer,2000-03-25,44320,138
401337,Cathie,Guerreiro,Engineer,2000-03-20,40000,139
21704,Xiaobin,Chorvat,Engineer,2000-03-13,40000,140
29372,Parke,Chinin,Engineer,2000-03-12,40000,141
76250,Fumiyo,Linnainmaa,Engineer,2000-03-06,40000,142
92210,Kazuhito,Assaf,Engineer,2000-03-02,40000,143
419463,Kinh,Rikino,Engineer,2000-02-27,68006,145
104233,Cordelia,Kolvik,Engineer,2000-02-27,43781,145
63707,Naftaly,Segond,Engineer,2000-02-16,41679,146
432841,KayLiang,Kragelund,Engineer,2000-02-06,40000,147
16716,Ramachenga,Zumaque,Engineer,2000-02-02,54270,148
27628,Stafford,Blokdijk,Engineer,2000-02-01,40000,150
459867,Nechama,Theuretzbacher,Engineer,2000-02-01,43545,150
40563,Hongzhu,Munos,Engineer,2000-01-31,40000,152
490345,Aleksandar,Coullard,Engineer,2000-01-31,46768,152
294824,Pragnesh,Radivojevic,Engineer,2000-01-30,40000,153
93915,Genevieve,Waymire,Engineer,2000-01-29,40000,156
427664,Toshimo,Maccarone,Engineer,2000-01-29,50290,156
247410,Arif,Spataro,Engineer,2000-01-29,55660,156
34268,Soenke,Kitai,Engineer,2000-01-28,62612,159
453081,Seongbin,Penn,Engineer,2000-01-28,50916,159
200216,Jianhua,Merey,Engineer,2000-01-28,70351,159
248713,Valter,Gaughan,Engineer,2000-01-27,40000,160
102298,Tianruo,Selenyi,Engineer,2000-01-26,40000,163
85761,Kazuyasu,Hofting,Engineer,2000-01-26,45148,163
232384,Selwyn,Niizuma,Engineer,2000-01-26,40000,163
98594,Eldridge,Kruskal,Engineer,2000-01-25,41566,164
492107,Mart,Kitsuregawa,Engineer,2000-01-24,42171,167
98052,JoAnne,Binding,Engineer,2000-01-24,47290,167
